Reporte de Detección de Vehículos

ID: 1, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 95.37%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 2, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 92.00%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 3, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 90.89%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 4, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 84.69%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 5, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 83.69%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 6, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 74.40%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 7, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 63.48%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 8, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 60.91%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 9, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 50.78%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 10, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 44.36%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 11, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 33.89%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 12, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: bus, Confianza: 28.18%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.51 ss
ID: 13, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 61.72%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.94 ss
ID: 14, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 31.47%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 1.94 ss
ID: 15, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 30.88%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 2.12 ss
ID: 16, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 26.25%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 2.12 ss
ID: 17, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 29.91%, Fecha/Hora: 26/1/2025 10:31:37, Tiempo: 2.30 ss
ID: 18, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 43.00%, Fecha/Hora: 26/1/2025 10:31:38, Tiempo: 2.47 ss
ID: 19, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 90.64%, Fecha/Hora: 26/1/2025 10:31:38, Tiempo: 2.83 ss
ID: 20, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 90.40%, Fecha/Hora: 26/1/2025 10:31:38, Tiempo: 2.83 ss
ID: 21, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 36.50%, Fecha/Hora: 26/1/2025 10:31:38, Tiempo: 2.83 ss
ID: 22, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 92.42%, Fecha/Hora: 26/1/2025 10:31:38, Tiempo: 3.02 ss
ID: 23, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 67.68%, Fecha/Hora: 26/1/2025 10:31:38, Tiempo: 3.02 ss
ID: 24, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 80.12%, Fecha/Hora: 26/1/2025 10:31:38, Tiempo: 3.18 ss
