Reporte de Detección de Vehículos

ID: 1, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 95.37%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 2, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 92.00%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 3, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 90.89%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 4, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 84.69%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 5, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 83.69%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 6, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 74.40%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 7, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 63.48%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 8, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 60.91%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 9, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 50.78%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 10, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 44.36%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 11, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 33.89%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 12, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: bus, Confianza: 28.18%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 13, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 61.72%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 14, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 31.47%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
ID: 15, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 30.88%, Fecha/Hora: 26/1/2025 8:39:08, Tiempo: N/As
