Reporte de Detección de Vehículos

ID: VF-1, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 95.37%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-2, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 92.00%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-3, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 90.89%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-4, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 84.69%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-5, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 83.69%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-6, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 74.40%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-7, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 63.48%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-8, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 60.91%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-9, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 50.78%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-10, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 44.36%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-11, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 33.89%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-12, Nombre: VideoStream, Ubicación: Desconocido, Tipo: bus, Confianza: 28.18%, Fecha/Hora: 24/1/2025 5:51:20, Tiempo: N/As
ID: VF-13, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 61.72%, Fecha/Hora: 24/1/2025 5:51:21, Tiempo: N/As
ID: VF-14, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 31.47%, Fecha/Hora: 24/1/2025 5:51:21, Tiempo: N/As
ID: VF-15, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 30.88%, Fecha/Hora: 24/1/2025 5:51:21, Tiempo: N/As
ID: VF-16, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 26.25%, Fecha/Hora: 24/1/2025 5:51:21, Tiempo: N/As
